message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,event,Time-sensitive group or scheduling update; from a verified business; category bank; useful but not immediate; can wait for digest,0.98,message_0243;message_0263;message_0101
msg_091,mute,personal,Personal message; low sender trust; should stay muted,0.94,message_0238;message_0025;message_0090
msg_090,digest,personal,Personal message; can wait for digest,0.96,message_0023;message_0045;message_0053
msg_048,notify,event,Time-sensitive group or scheduling update; society group; should interrupt now,0.91,message_0150;message_0140;message_0151
msg_040,mute,personal,Personal message; family group; should stay muted,0.96,message_0136;message_0194;message_0078
msg_075,digest,business_update,Legitimate business update; from a verified business; category ride_booking; useful but not immediate; can wait for digest,0.87,message_0206;message_0205
msg_005,digest,payment,Payment-related message; marketplace group; can wait for digest,0.94,message_0196;message_0200;message_0214
msg_104,digest,personal,Personal message; can wait for digest,0.93,message_0065;message_0049;message_0066
msg_069,mute,spam,Low-value repeated or forwarded content; family group; low sender trust; should stay muted,0.98,message_0014;message_0177;message_0193
msg_107,mute,scam,Suspicious verification or account-pressure language; should stay muted,0.98,message_0201;message_0087;message_0091
msg_070,mute,scam,Suspicious verification or account-pressure language; marketplace group; inside quiet hours; should stay muted,0.98,message_0024;message_0201;message_0087
msg_003,notify,business_update,Legitimate business update; from a verified business; category ecommerce_delivery; should interrupt now,0.98,message_0400;message_0031;message_0297
msg_099,digest,event,Time-sensitive group or scheduling update; can wait for digest,0.92,message_0219;message_0249;message_0266
msg_008,notify,business_update,Legitimate business update; from a verified business; category healthcare_product; inside quiet hours; should interrupt now,0.98,message_0296;message_0071;message_0072
msg_092,digest,payment,Payment-related message; from a verified business; category credit_card; can wait for digest,0.68,none
msg_060,digest,promotion,Marketing or sale content; college_faculty group; can wait for digest,0.96,message_0284;message_0176;message_0210
msg_004,digest,event,Time-sensitive group or scheduling update; from a verified business; category healthcare; can wait for digest,0.98,message_0245;message_0005;message_0047
msg_030,mute,spam,Low-value repeated or forwarded content; marketplace group; low sender trust; should stay muted,0.98,message_0115;message_0095;message_0173
msg_045,digest,personal,Personal message; society group; can wait for digest,0.98,message_0008;message_0146;message_0070
msg_052,mute,scam,Suspicious verification or account-pressure language; category food_delivery; low sender trust; should stay muted,0.98,message_0208;message_0160;message_0207
msg_009,digest,unknown,No strong urgency or safety signal; sports group; can wait for digest,0.84,message_0074;message_0192;message_0010
msg_071,digest,unknown,No strong urgency or safety signal; extended_family group; can wait for digest,0.84,message_0197;message_0165;message_0167
msg_016,mute,scam,Suspicious verification or account-pressure language; marketplace group; inside quiet hours; low sender trust; should stay muted,0.98,message_0024;message_0201;message_0087
msg_065,digest,promotion,Marketing or sale content; from a verified business; category retail; useful but not immediate; can wait for digest,0.98,message_0261;message_0351;message_0185
msg_038,mute,forward,Forwarded content; dance_class group; should stay muted,0.98,message_0265;message_0131;message_0079
msg_086,digest,business_update,Legitimate business update; from a verified business; category travel; useful but not immediate; can wait for digest,0.96,message_0222;message_0299;message_0272
msg_014,mute,promotion,Marketing or sale content; from a verified business; category food_delivery; low sender trust; should stay muted,0.98,message_0258;message_0018;message_0017
msg_094,digest,promotion,Marketing or sale content; from a verified business; category beauty; can wait for digest,0.70,none
msg_029,mute,promotion,Marketing or sale content; marketplace group; should stay muted,0.98,message_0116;message_0096;message_0174
msg_105,mute,forward,Forwarded content; low sender trust; should stay muted,0.98,message_0079;message_0131;message_0039
msg_002,mute,event,Time-sensitive group or scheduling update; coworker group; should stay muted,0.96,message_0003;message_0059;message_0169
msg_010,notify,business_update,Legitimate business update; from a verified business; category cinema; should interrupt now,0.98,message_0011;message_0242;message_0311
